Parameter_Value,CLm,P97m,P51m,ELm,Parameter,Source CSV,CLm_delta,P97m_delta,P51m_delta,ELm_delta,FoldChange
0.1431405,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,0.826446305
0.15745455,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,0.909090935
0.1732,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,1
0.19052,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,1.1
0.209572,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,1.21
0.2305292,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,1.331
0.25358212,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,1.4641
0.27894033,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,1.610509988
0.30683437,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,1.771561028
0.3375178,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,1.94871709
0.37126958,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,2.143588799
0.40839654,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,2.357947691
0.44923619,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,2.593742436
0.49415981,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,2.853116686
0.54357579,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,3.138428349
0.59793337,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,3.452271189
0.65772671,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,3.797498326
0.72349938,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,4.177248152
0.79584932,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,4.594972979
0.87543425,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,5.054470266
0.96297768,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,5.559917321
1.05927545,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,6.115909065
1.16520299,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,6.727499942
1.28172329,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,7.400249942
1.40989562,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,8.140274942
1.55088518,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,8.954302425
1.7059737,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,9.849732679
0.07845898,24,23.88888889,23.875,11.84210526,Bm8,period_data_Bm8.csv,0,-0.111111111,-0.125,-12.15789474,0.101525595
0.08630488,24,23.88888889,24,11.84210526,Bm8,period_data_Bm8.csv,0,-0.111111111,0,-12.15789474,0.111678157
0.09493537,24,23.88888889,23.875,11.84210526,Bm8,period_data_Bm8.csv,0,-0.111111111,-0.125,-12.15789474,0.122845976
0.10442891,24,23.88888889,24,11.84210526,Bm8,period_data_Bm8.csv,0,-0.111111111,0,-12.15789474,0.135130577
0.1148718,24,23.88888889,24,11.84210526,Bm8,period_data_Bm8.csv,0,-0.111111111,0,-12.15789474,0.148643634
0.12635898,24,23.88888889,23.875,11.84210526,Bm8,period_data_Bm8.csv,0,-0.111111111,-0.125,-12.15789474,0.163507997
0.13899487,23.88888889,24,23.875,11.89473684,Bm8,period_data_Bm8.csv,-0.111111111,0,-0.125,-12.10526316,0.179858786
0.15289436,23.88888889,24,23.875,11.89473684,Bm8,period_data_Bm8.csv,-0.111111111,0,-0.125,-12.10526316,0.197844669
0.1681838,23.88888889,23.88888889,23.875,11.89473684,Bm8,period_data_Bm8.csv,-0.111111111,-0.111111111,-0.125,-12.10526316,0.217629141
0.18500218,23.88888889,24,23.875,11.89473684,Bm8,period_data_Bm8.csv,-0.111111111,0,-0.125,-12.10526316,0.239392055
0.20350239,24,24,24,11.89473684,Bm8,period_data_Bm8.csv,0,0,0,-12.10526316,0.26333125
0.22385263,24,24,24,11.89473684,Bm8,period_data_Bm8.csv,0,0,0,-12.10526316,0.289664376
0.2462379,24,24,23.875,11.89473684,Bm8,period_data_Bm8.csv,0,0,-0.125,-12.10526316,0.318630823
0.27086169,24,24,24,11.89473684,Bm8,period_data_Bm8.csv,0,0,0,-12.10526316,0.350493905
0.29794785,24.11111111,24.11111111,24,11.89473684,Bm8,period_data_Bm8.csv,0.111111111,0.111111111,0,-12.10526316,0.385543284
0.32774264,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,0.424097619
0.3605169,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,0.466507376
0.39656859,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,0.513158113
0.43622545,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,0.564473926
0.479848,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,0.620921325
0.5278328,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,0.683013458
0.58061608,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,0.751314803
0.63867769,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,0.826446286
0.70254545,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,0.909090903
0.7728,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,1
0.85008,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,1.1
0.935088,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,1.21
1.0285968,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,1.331
1.13145648,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,1.4641
1.24460213,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,1.610510003
1.36906234,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,1.771560999
1.50596857,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,1.948717094
1.65656543,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,2.143588807
1.82222198,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,2.357947697
2.00444417,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,2.593742456
2.20488859,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,2.853116705
2.42537745,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,3.138428377
2.66791519,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,3.452271209
2.93470671,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,3.797498331
3.22817739,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,4.177248175
3.55099512,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,4.594972981
3.90609464,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,5.05447029
4.2967041,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,5.559917314
4.72637451,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,6.115909045
5.19901196,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,6.727499948
5.71891316,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,7.400249948
6.29080447,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,8.140274935
6.91988492,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,8.954302433
7.61187341,24,24,24,24,Bm8,period_data_Bm8.csv,0,0,0,0,9.849732673
0.04210267,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,0.101525609
0.04631293,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,0.111678153
0.05094423,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,0.122845985
0.05603865,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,0.135130576
0.06164251,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,0.148643622
0.06780676,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,0.163507982
0.07458744,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,0.179858789
0.08204618,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,0.197844659
0.0902508,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,0.217629129
0.09927588,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,0.239392042
0.10920347,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,0.263331252
0.12012382,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,0.289664384
0.1321362,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,0.318630817
0.14534982,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,0.350493899
0.1598848,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,0.385543284
0.17587328,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,0.424097613
0.19346061,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,0.466507379
0.21280667,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,0.513158114
0.23408734,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,0.564473933
0.25749607,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,0.620921317
0.28324568,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,0.683013456
0.31157025,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,0.751314806
0.34272727,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,0.826446274
0.377,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,0.909090909
0.4147,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,1
0.45617,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,1.1
0.501787,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,1.21
0.5519657,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,1.331
0.60716227,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,1.4641
0.6678785,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,1.610510007
0.73466635,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,1.771561008
0.80813298,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,1.948717097
0.88894628,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,2.143588811
0.97784091,24,24,24,24,Bp4,period_data_Bp4.csv,0,0,0,0,2.357947697
1.075625,24,24,24,11.94736842,Bp4,period_data_Bp4.csv,0,0,0,-12.05263158,2.593742464
1.1831875,24,24,24,11.89473684,Bp4,period_data_Bp4.csv,0,0,0,-12.10526316,2.853116711
1.30150625,24,24,23.875,11.89473684,Bp4,period_data_Bp4.csv,0,0,-0.125,-12.10526316,3.138428382
1.43165687,24,24,24,11.89473684,Bp4,period_data_Bp4.csv,0,0,0,-12.10526316,3.452271208
1.57482256,24,24,23.875,11.84210526,Bp4,period_data_Bp4.csv,0,0,-0.125,-12.15789474,3.797498336
1.73230482,24,24,23.88888889,11.78947368,Bp4,period_data_Bp4.csv,0,0,-0.111111111,-12.21052632,4.177248179
1.9055353,24,24.11111111,23.875,11.89473684,Bp4,period_data_Bp4.csv,0,0.111111111,-0.125,-12.10526316,4.594972993
